RunDate,Service Provider,ConsentID or Water Group,Activity Number,Meters,Type,Limit,Max Use,Percent Over Limit,Date of Highest Overage,Date of Earliest Non-compliance,Date of Latest Non-compliance
19-Jan-2019,Watermetrics,CRC061909.1,CRC061909.1-1,L37/1480-M1,Take Rate,30.0 l/s,30.4 l/s,1.40%,17/01/2019 15:15,11/01/2019 10:15,17/01/2019 15:30
19-Jan-2019,DataCol,CRC050198.2,CRC050198.2-1,L36/2120-M1,Take Rate,38.0 l/s,52.6 l/s,38.50%,11/01/2019 9:30,11/01/2019 0:00,15/01/2019 23:00
19-Jan-2019,DataCol,CRC050198.2,CRC050198.2-1,L36/2120-M1,Take Rate - Low Flow Ban,0 l/s,37.5 l/s,-,11/01/2019 14:15,11/01/2019 14:15,15/01/2019 23:00
19-Jan-2019,Aqualinc,CRC042726,CRC042726-1,L36/1737-M1,Take Rate,16.0 l/s,31.3 l/s,95.30%,11/01/2019 13:32,11/01/2019 0:00,18/01/2019 4:47
19-Jan-2019,Aqualinc,CRC042726,CRC042726-1,L36/1737-M1,1 day Volume,1251.0 m3,2228.0 m3,78.10%,12/01/2019 0:00,12/01/2019 0:00,18/01/2019 0:00
19-Jan-2019,WaterCheck,CRC021422.1,CRC021422.1-1,N34/0302-M1,Take Rate,0.3 l/s,8.1 l/s,2585.20%,15/01/2019 2:15,11/01/2019 0:00,17/01/2019 12:00
19-Jan-2019,WaterCheck,CRC021422.1,CRC021422.1-1,N34/0302-M1,1 day Volume,26.0 m3,408.8 m3,1472.30%,16/01/2019 0:00,12/01/2019 0:00,17/01/2019 0:00
19-Jan-2019,DataCol,CRC020256.1,CRC020256.1-1,M37/0401-M1,Take Rate,7.8 l/s,15.4 l/s,97.60%,10/01/2019 13:45,10/01/2019 13:00,11/01/2019 19:15
19-Jan-2019,DataCol,CRC020256.1,CRC020256.1-1,M37/0401-M1,9 day Volume,2807.0 m3,4734.0 m3,68.60%,11/01/2019 0:00,10/01/2019 0:00,15/01/2019 0:00
19-Jan-2019,Watermetrics,CRC011915,CRC011915-1,N34/0062-M1 + N34/0086-M1,Take Rate,23.0 l/s,25.8 l/s,12.30%,12/01/2019 22:45,11/01/2019 1:30,17/01/2019 6:45
19-Jan-2019,,CRC010431.3,CRC010431.3-1,L37/0521-M1 + L37/0522-M1 + M37/0170-M1,Take Rate - Low Flow Ban,0 l/s,22.9 l/s,-,11/01/2019 1:00,11/01/2019 0:00,11/01/2019 6:30
19-Jan-2019,WaterCheck,CRC001742.1,CRC001742.1-1,M35/6733-M1,1 day Volume,238.0 m3,294.6 m3,23.80%,17/01/2019 0:00,17/01/2019 0:00,17/01/2019 0:00
19-Jan-2019,Boraman,CRC000376.3,CRC000376.3-1,L36/1429-M1 + L36/1431-M1,Take Rate - Low Flow Ban,0 l/s,3.5 l/s,-,17/01/2019 10:15,16/01/2019 8:00,17/01/2019 20:30
19-Jan-2019,WaterCheck,CRC000056.4,CRC000056.4-1,N34/0127-M1,1 day Volume,6.8 m3,56.0 m3,723.50%,12/01/2019 0:00,12/01/2019 0:00,16/01/2019 0:00
19-Jan-2019,Watermetrics,CRC991947.2,CRC991947.2-1,K37/2578-M1,Take Rate,38.0 l/s,42.4 l/s,11.50%,4/01/2019 17:15,4/01/2019 10:45,18/01/2019 0:00
19-Jan-2019,Boraman,CRC991009A,CRC991009A-1,K38/0777-M1,Take Rate,53.0 l/s,56.9 l/s,7.40%,11/01/2019 10:00,11/01/2019 8:30,14/01/2019 1:15
19-Jan-2019,Boraman,CRC991009A,CRC991009A-1,K38/0777-M1,1 day Volume,4000.0 m3,4444.0 m3,11.10%,17/01/2019 0:00,12/01/2019 0:00,18/01/2019 0:00
19-Jan-2019,DataCol,CRC990901.3,CRC990901.3-1,L36/2120-M1,Take Rate,17.9 l/s,35.1 l/s,96.30%,15/01/2019 12:15,8/01/2019 13:30,15/01/2019 22:15
19-Jan-2019,Boraman,CRC990869B.1,CRC990869B.1-1,K38/0339-M1,1 day Volume,692.0 m3,1282.0 m3,85.30%,12/01/2019 0:00,12/01/2019 0:00,12/01/2019 0:00
19-Jan-2019,WaterCheck,CRC982063.2,CRC982063.2-1,M35/6733-M1,1 day Volume,238.0 m3,294.6 m3,23.80%,17/01/2019 0:00,17/01/2019 0:00,17/01/2019 0:00
19-Jan-2019,WaterCheck,CRC972670.1,CRC972670.1-1,O31/0272-M1,Take Rate,45.0 l/s,4570.2 l/s,10056.10%,13/01/2019 6:30,13/01/2019 5:00,13/01/2019 6:45
