ID,ConsentID or Water Group,IgnoreReasonID,Comment,CreatedBy,StartDate,EndDate
608,CRC040243,Consents with Associated WAPS,Bulk Import 25/01/626,CH\KatieSi,25/01/2019,30/06/2019
609,CRC040301.5,Complicated Allocation,Bulk Import 25/01/627,CH\KatieSi,25/01/2019,30/06/2019
610,CRC040315,Associated Permits Confirmed,Bulk Import 25/01/628,CH\KatieSi,25/01/2019,30/06/2019
611,CRC040320.1,Under 5l/s,Bulk Import 25/01/629,CH\KatieSi,25/01/2019,30/06/2019
612,CRC040377,Under 5l/s,Bulk Import 25/01/630,CH\KatieSi,25/01/2019,30/06/2019
613,CRC040400,Consents with Associated WAPS,Bulk Import 25/01/631,CH\KatieSi,25/01/2019,30/06/2019
614,CRC040441.1,Under 5l/s,Bulk Import 25/01/632,CH\KatieSi,25/01/2019,30/06/2019
615,CRC040456.1,Under 5l/s,Bulk Import 25/01/633,CH\KatieSi,25/01/2019,30/06/2019
616,CRC040464,Under 5l/s,Bulk Import 25/01/634,CH\KatieSi,25/01/2019,30/06/2019
617,CRC040485.1,Associated Permits Confirmed,Bulk Import 25/01/635,CH\KatieSi,25/01/2019,30/06/2019
618,CRC040488,Associated Permits Confirmed,Bulk Import 25/01/636,CH\KatieSi,25/01/2019,30/06/2019
619,CRC040500,Consents with Associated WAPS,Bulk Import 25/01/637,CH\KatieSi,25/01/2019,30/06/2019
620,CRC040514.3,Consents with Associated WAPS,Bulk Import 25/01/638,CH\KatieSi,25/01/2019,30/06/2019
621,CRC040523,Consents with Associated WAPS,Bulk Import 25/01/639,CH\KatieSi,25/01/2019,30/06/2019
622,CRC040557,Associated Permits Assumed,Bulk Import 25/01/640,CH\KatieSi,25/01/2019,30/06/2019
623,CRC040571,Consents with Associated WAPS,Bulk Import 25/01/641,CH\KatieSi,25/01/2019,30/06/2019
624,CRC040581,Consents with Associated WAPS,Bulk Import 25/01/642,CH\KatieSi,25/01/2019,30/06/2019
625,CRC040613.5,Associated Permits Confirmed,Bulk Import 25/01/643,CH\KatieSi,25/01/2019,30/06/2019
626,CRC040705.3,Under 5l/s,Bulk Import 25/01/644,CH\KatieSi,25/01/2019,30/06/2019
627,CRC040706,Complicated Allocation,Bulk Import 25/01/645,CH\KatieSi,25/01/2019,30/06/2019
628,CRC040783,Under 5l/s,Bulk Import 25/01/646,CH\KatieSi,25/01/2019,30/06/2019
629,CRC040798.2,Associated Permits Confirmed,Bulk Import 25/01/647,CH\KatieSi,25/01/2019,30/06/2019
630,CRC040808,Consents with Associated WAPS,Bulk Import 25/01/648,CH\KatieSi,25/01/2019,30/06/2019
631,CRC040830,Associated Permits Confirmed,Bulk Import 25/01/649,CH\KatieSi,25/01/2019,30/06/2019
632,CRC040869,Associated Permits Confirmed,Bulk Import 25/01/650,CH\KatieSi,25/01/2019,30/06/2019
633,CRC040871.2,Consents with Associated WAPS,Bulk Import 25/01/651,CH\KatieSi,25/01/2019,30/06/2019
634,CRC040880,Regionally Significant,Bulk Import 25/01/652,CH\KatieSi,25/01/2019,30/06/2019
635,CRC040919,Consents with Associated WAPS,Bulk Import 25/01/653,CH\KatieSi,25/01/2019,30/06/2019
636,CRC040921,Consents with Associated WAPS,Bulk Import 25/01/654,CH\KatieSi,25/01/2019,30/06/2019
637,CRC040988,Associated Permits Assumed,Bulk Import 25/01/655,CH\KatieSi,25/01/2019,30/06/2019
638,CRC040989,Associated Permits Confirmed,Bulk Import 25/01/656,CH\KatieSi,25/01/2019,30/06/2019
639,CRC041002,Consents with Associated WAPS,Bulk Import 25/01/657,CH\KatieSi,25/01/2019,30/06/2019
640,CRC041003,Associated Permits Confirmed,Bulk Import 25/01/658,CH\KatieSi,25/01/2019,30/06/2019
641,CRC041010.1,Consents with Associated WAPS,Bulk Import 25/01/659,CH\KatieSi,25/01/2019,30/06/2019
